Rank,Release Group,Worldwide,Domestic,%,Foreign,%
111,Ripples,"$263,345",-,-,"$263,345",100%
112,Ocean Expedition Octonauts Above and Beyond: Polar Operations,"$254,264",-,-,"$254,264",100%
113,The Devil's Lair,"$248,924",-,-,"$248,924",100%
114,Hüddam 5: Zuhur,"$234,296",-,-,"$234,296",100%
115,Peter Pan's Neverland Nightmare,"$230,515","$230,515",100%,-,-
116,Lembayung,"$219,319",-,-,"$219,319",100%
117,Octopus with Broken Arms,"$215,198",-,-,"$215,198",100%
118,Thandel,"$206,683",-,-,"$206,683",100%
119,Parvulos,"$203,185",-,-,"$203,185",100%
120,Pravinkoodu Shappu,"$197,118",-,-,"$197,118",100%
121,Tete ve Masal: Rüyalar Diyari,"$194,763",-,-,"$194,763",100%
122,Harry Potter and the Chamber of Secrets 2025 Re-release,"$194,328",-,-,"$194,328",100%
123,Tandari,"$194,004",-,-,"$194,004",100%
124,Inheritance,"$192,223","$192,223",100%,-,-
125,De rettsløse,"$192,015",-,-,"$192,015",100%
126,Marked Men,"$183,945",-,-,"$183,945",100%
127,Alarum,"$182,338",-,-,"$182,338",100%
128,The Wind Rises 2024 Re-release,"$172,120",-,-,"$172,120",100%
129,Temel: Sümela'nin Sifresi Yeniden,"$171,451",-,-,"$171,451",100%
130,Madha Gaja Raja,"$169,618",-,-,"$169,618",100%
131,Dead Dead Demons Dededede Destruction,"$158,531",-,-,"$158,531",100%
132,Daaku Maharaaj,"$157,823",-,-,"$157,823",100%
133,Class 90,"$153,805",-,-,"$153,805",100%
134,Emergency,"$147,371",-,-,"$147,371",100%
135,In the Name of Blood,"$144,831",-,-,"$144,831",100%
136,Azaad,"$137,979",-,-,"$137,979",100%
137,Po baram,"$136,344",-,-,"$136,344",100%
138,Diva Futura,"$133,613",-,-,"$133,613",100%
139,Hobal,"$133,588",-,-,"$133,588",100%
140,Crypto Man,"$132,423",-,-,"$132,423",100%
141,Rich Flu,"$127,648",-,-,"$127,648",100%
142,Une guitare à la mer,"$127,215",-,-,"$127,215",100%
143,Liza: A Truly Terrific Absolutely True Story,"$127,047","$127,047",100%,-,-
144,F*cks News demandados en pantalla grande,"$126,365",-,-,"$126,365",100%
145,Ski - The Greatest Ski Tour of All Time,"$126,290",-,-,"$126,290",100%
146,Kang Mak,"$124,056",-,-,"$124,056",100%
147,Majhail,"$120,161",-,-,"$120,161",100%
148,FolleMente,"$119,489",-,-,"$119,489",100%
149,Dismantling an Elephant,"$116,267",-,-,"$116,267",100%
150,Julie Keeps Quiet,"$108,117",-,-,"$108,117",100%
151,Fateh,"$101,332",-,-,"$101,332",100%
152,(G)I-dle World Tour [iDOL] in Cinemas,"$100,077",-,-,"$100,077",100%
153,Holka od vedle,"$96,729",-,-,"$96,729",100%
154,"Red Velvet Happiness Diary : My Dear, ReVe1uv in Cinemas","$96,260",-,-,"$96,260",100%
155,Norbert(a),"$96,027",-,-,"$96,027",100%
156,ELMESTRAI7A,"$94,435",-,-,"$94,435",100%
157,Storm City,"$94,138",-,-,"$94,138",100%
158,Par amour,"$91,565",-,-,"$91,565",100%
159,Into the Deep,"$87,338",-,-,"$87,338",100%
160,Filmlovers!,"$86,123",-,-,"$86,123",100%
161,Don't close your eyes,"$85,366",-,-,"$85,366",100%
162,Duel in trei,"$85,068",-,-,"$85,068",100%
163,A Boat in the Garden,"$83,389",-,-,"$83,389",100%
164,And the Breadwinner Is...,"$82,649",-,-,"$82,649",100%
165,Loveyapa,"$79,082",-,-,"$79,082",100%
166,Shaman,"$78,967",-,-,"$78,967",100%
167,Hoshiar Singh,"$75,483",-,-,"$75,483",100%
168,Across the Sea,"$72,942",-,-,"$72,942",100%
169,Kadhalikka Neramillai,"$70,834",-,-,"$70,834",100%
170,All for One,"$70,108",-,-,"$70,108",100%
171,My Rozhaem,"$69,374",-,-,"$69,374",100%
172,6 Days,"$66,595",-,-,"$66,595",100%
173,Kudumbasthan,"$64,479",-,-,"$64,479",100%
174,Askin Dünkü Çocuklari,"$64,016",-,-,"$64,016",100%
175,The Bayou,"$62,907",-,-,"$62,907",100%
176,Honey Money Phony,"$61,869",-,-,"$61,869",100%
177,Baby Blue,"$61,167",-,-,"$61,167",100%
178,Tenement,"$58,701",-,-,"$58,701",100%
179,William Tell,"$58,569",-,-,"$58,569",100%
180,Empareja2,"$56,799",-,-,"$56,799",100%
181,Vanangaan,"$56,449",-,-,"$56,449",100%
182,Bez trenek,"$52,981",-,-,"$52,981",100%
183,Birdeater,"$50,909",-,-,"$50,909",100%
184,Chetyre chetverti,"$46,941",-,-,"$46,941",100%
185,Itoiz Udako Sesioak,"$46,333",-,-,"$46,333",100%
186,Oru Jaathi Jaathakam,"$43,081",-,-,"$43,081",100%
187,The Crucifix: Blood of the Exorcist,"$43,031",-,-,"$43,031",100%
188,Cellar Door,"$39,830",-,-,"$39,830",100%
189,Love Never Dies 2025 Re-release,"$39,162",-,-,"$39,162",100%
190,La mitad de Ana,"$38,485",-,-,"$38,485",100%
191,Extremely Unique Dynamic,"$38,207","$38,207",100%,-,-
192,DIG! XX,"$37,155","$37,155",100%,-,-
193,Sarah & Duck on the Big Screen,"$36,700",-,-,"$36,700",100%
194,Yeh Jawaani Hai Deewani 2025 Re-release,"$36,154",-,-,"$36,154",100%
195,Mult v kino. Vol. 178,"$35,932",-,-,"$35,932",100%
196,The Wrath of God,"$34,178",-,-,"$34,178",100%
197,Blue Road: The Edna O'Brien Story,"$33,684",-,-,"$33,684",100%
198,Bir Ömrün Sonbahari,"$33,366",-,-,"$33,366",100%
199,Detective Conan: The Fourteenth Target,"$30,953",-,-,"$30,953",100%
200,Yahuda,"$28,044",-,-,"$28,044",100%
