Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,447,038,421","$636,238,421",44%,"$810,800,000",56%
2,The Super Mario Bros. Movie,"$1,360,847,665","$574,934,330",42.2%,"$785,913,335",57.8%
3,Oppenheimer,"$975,594,978","$329,862,540",33.8%,"$645,732,438",66.2%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,875,015","$146,126,015",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,542,303","$381,311,319",55.2%,"$309,230,984",44.8%
7,Full River Red,"$670,491,959",-,-,"$670,491,959",100%
8,Wonka,"$634,502,312","$218,402,312",34.4%,"$416,100,000",65.6%
9,The Wandering Earth II,"$615,023,132","$5,023,132",0.8%,"$610,000,000",99.2%
10,Mission: Impossible - Dead Reckoning Part One,"$571,125,435","$172,640,980",30.2%,"$398,484,455",69.8%
11,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
12,No More Bets,"$532,600,264",-,-,"$532,600,264",100%
13,Elemental,"$496,444,308","$154,426,697",31.1%,"$342,017,611",68.9%
14,Lost in the Stars,"$487,637,474","$1,721,446",0.4%,"$485,916,028",99.6%
15,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
16,Transformers: Rise of the Beasts,"$441,656,550","$157,341,749",35.6%,"$284,314,801",64.4%
17,John Wick: Chapter 4,"$440,180,275","$187,131,806",42.5%,"$253,048,469",57.5%
18,Aquaman and the Lost Kingdom,"$439,381,226","$124,481,226",28.3%,"$314,900,000",71.7%
19,Meg 2: The Trench,"$397,800,317","$82,600,317",20.8%,"$315,200,000",79.2%
20,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%
21,Creation of the Gods I: Kingdom of Storms,"$373,021,923","$1,706,355",0.5%,"$371,315,568",99.5%
22,The Hunger Games: The Ballad of Songbirds & Snakes,"$348,900,019","$166,350,594",47.7%,"$182,549,425",52.3%
23,Never Say Never,"$301,957,043",-,-,"$301,957,043",100%
24,Migration,"$300,187,799","$127,630,880",42.5%,"$172,556,919",57.5%
25,Five Nights at Freddy's,"$291,493,620","$137,275,620",47.1%,"$154,218,000",52.9%
26,The Boy and the Heron,"$281,951,288","$46,832,867",16.6%,"$235,118,421",83.4%
27,Creed III,"$276,148,615","$156,248,615",56.6%,"$119,900,000",43.4%
28,The Flash,"$271,433,313","$108,133,313",39.8%,"$163,300,000",60.2%
29,The Nun II,"$269,667,073","$86,267,073",32%,"$183,400,000",68%
30,Taylor Swift: The Eras Tour,"$261,656,269","$180,756,269",69.1%,"$80,900,000",30.9%
31,Wish,"$254,997,360","$63,973,821",25.1%,"$191,023,539",74.9%
32,Sound of Freedom,"$250,570,396","$184,178,046",73.5%,"$66,392,350",26.5%
33,Chang An,"$250,318,788",-,-,"$250,318,788",100%
