Rank,Release Group,Worldwide,Domestic,%,Foreign,%
34,Napoleon,"$221,394,838","$61,524,375",27.8%,"$159,870,463",72.2%
35,Anyone But You,"$220,323,355","$88,319,668",40.1%,"$132,003,687",59.9%
36,Boonie Bears: Guardian Code,"$217,954,082",-,-,"$217,954,082",100%
37,Trolls Band Together,"$209,646,030","$103,270,155",49.3%,"$106,375,875",50.7%
38,The Marvels,"$206,136,825","$84,500,223",41%,"$121,636,602",59%
39,Dungeons & Dragons: Honor Among Thieves,"$205,460,387","$93,549,650",45.5%,"$111,910,737",54.5%
40,PAW Patrol: The Mighty Movie,"$205,098,869","$65,343,309",31.9%,"$139,755,560",68.1%
41,The Equalizer 3,"$191,067,560","$92,373,751",48.3%,"$98,693,809",51.7%
42,Under the Light,"$189,404,720",-,-,"$189,404,720",100%
43,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%
44,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$181,935,518","$118,700,272",65.2%,"$63,235,246",34.8%
45,Scream VI,"$166,577,232","$108,391,107",65.1%,"$58,186,125",34.9%
46,Godspeed,"$165,276,468",-,-,"$165,276,468",100%
47,Killers of the Flower Moon,"$158,772,599","$68,035,488",42.9%,"$90,737,111",57.1%
48,Evil Dead Rise,"$147,033,054","$67,233,054",45.7%,"$79,800,000",54.3%
49,The Ex-Files 4: Marriage Plan,"$141,589,956",-,-,"$141,589,956",100%
50,Hidden Blade,"$136,784,593","$803,189",0.6%,"$135,981,404",99.4%
51,The Exorcist: Believer,"$136,294,607","$65,537,395",48.1%,"$70,757,212",51.9%
52,Shazam! Fury of the Gods,"$134,138,006","$57,638,006",43%,"$76,500,000",57%
53,Deep Sea,"$133,558,974","$9,575",<0.1%,"$133,549,399",100%
54,Blue Beetle,"$130,788,072","$72,488,072",55.4%,"$58,300,000",44.6%
55,One and Only,"$128,818,285",-,-,"$128,818,285",100%
56,A Haunting in Venice,"$122,290,456","$42,471,412",34.7%,"$79,819,044",65.3%
57,Gran Turismo,"$122,076,738","$44,428,554",36.4%,"$77,648,184",63.6%
58,The Volunteers: To the War,"$118,779,552",-,-,"$118,779,552",100%
59,Poor Things,"$117,625,455","$34,553,225",29.4%,"$83,072,230",70.6%
60,Haunted Mansion,"$117,449,790","$67,653,287",57.6%,"$49,796,503",42.4%
61,Born to Fly,"$117,141,585","$277,011",0.2%,"$116,864,574",99.8%
62,Godzilla Minus One,"$113,676,322","$57,144,669",50.3%,"$56,531,653",49.7%
63,Pathaan,"$112,583,450","$17,487,476",15.5%,"$95,095,974",84.5%
64,Saw X,"$112,202,480","$53,607,898",47.8%,"$58,594,582",52.2%
65,Detective Conan: Black Iron Submarine,"$106,771,806",-,-,"$106,771,806",100%
66,The Creator,"$104,272,136","$40,774,679",39.1%,"$63,497,457",60.9%
67,12.12: The Day,"$97,476,565",-,-,"$97,476,565",100%
68,Animal,"$92,870,950","$15,004,482",16.2%,"$77,866,468",83.8%
69,Talk to Me,"$91,959,188","$48,299,436",52.5%,"$43,659,752",47.5%
70,Air,"$90,060,106","$52,460,106",58.3%,"$37,600,000",41.7%
71,Cocaine Bear,"$88,314,672","$64,670,240",73.2%,"$23,644,432",26.8%
72,No Hard Feelings,"$87,256,407","$50,452,282",57.8%,"$36,804,125",42.2%
73,The Roundup: No Way Out,"$83,410,298","$909,411",1.1%,"$82,500,887",98.9%
74,The Pope's Exorcist,"$76,987,621","$20,009,380",26%,"$56,978,241",74%
75,Plane,"$74,515,586","$32,111,181",43.1%,"$42,404,405",56.9%
76,Titanic 25 Year Anniversary,"$70,219,746","$15,096,069",21.5%,"$55,123,677",78.5%
77,The Color Purple,"$68,919,191","$60,619,191",88%,"$8,300,000",12%
78,The Boogeyman,"$67,307,243","$43,244,282",64.2%,"$24,062,961",35.8%
79,65,"$60,730,568","$32,062,904",52.8%,"$28,667,664",47.2%
80,Spy x Family Code: White,"$59,629,242","$8,110,042",13.6%,"$51,519,200",86.4%
81,Magic Mike's Last Dance,"$57,105,156","$26,005,156",45.5%,"$31,100,000",54.5%
82,One Life,"$56,475,835","$5,716,885",10.1%,"$50,758,950",89.9%
83,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,319,794","$10,117,806",18%,"$46,201,988",82%
84,The Boys in the Boat,"$55,501,365","$52,641,306",94.8%,"$2,860,059",5.2%
85,Knock at the Cabin,"$54,760,947","$35,397,980",64.6%,"$19,362,967",35.4%
86,Mummies,"$54,475,970","$4,275,970",7.8%,"$50,200,000",92.2%
87,Jesus Revolution,"$54,293,684","$52,102,987",96%,"$2,190,697",4%
88,Asteroid City,"$53,857,743","$28,153,025",52.3%,"$25,704,718",47.7%
89,The Zone of Interest,"$52,631,884","$8,659,464",16.5%,"$43,972,420",83.5%
90,There's Still Tomorrow,"$49,854,246",-,-,"$49,854,246",100%
91,Operation Fortune: Ruse de Guerre,"$48,983,306","$6,496,125",13.3%,"$42,487,181",86.7%
92,Missing,"$48,767,848","$32,502,025",66.6%,"$16,265,823",33.4%
93,Thanksgiving,"$46,553,280","$31,908,884",68.5%,"$14,644,396",31.5%
94,Asterix & Obelix: The Middle Kingdom,"$46,497,678",-,-,"$46,497,678",100%
95,The Holdovers,"$45,729,298","$20,355,375",44.5%,"$25,373,923",55.5%
96,Ruby Gillman: Teenage Kraken,"$45,657,745","$15,753,600",34.5%,"$29,904,145",65.5%
97,The Iron Claw,"$45,204,449","$35,070,296",77.6%,"$10,134,153",22.4%
98,Son of a Rich 2,"$44,718,015",-,-,"$44,718,015",100%
99,Renaissance: A Film by Beyoncé,"$43,989,684","$33,889,684",77%,"$10,100,000",23%
100,Ferrari,"$43,601,123","$18,550,028",42.5%,"$25,051,095",57.5%
101,Past Lives,"$42,530,801","$11,185,625",26.3%,"$31,345,176",73.7%
102,80 for Brady,"$40,480,875","$39,448,525",97.4%,"$1,032,350",2.6%
103,"Miraculous: Ladybug & Cat Noir, the Movie","$40,209,224",-,-,"$40,209,224",100%
104,My Big Fat Greek Wedding 3,"$38,831,076","$28,496,030",73.4%,"$10,335,046",26.6%
105,The Expendables 4,"$37,917,985","$16,710,153",44.1%,"$21,207,832",55.9%
106,Doraemon the Movie: Nobita's Sky Utopia,"$37,475,850",-,-,"$37,475,850",100%
107,Smugglers,"$36,851,831",-,-,"$36,851,831",100%
108,Kingdom 3: The Flame of Destiny,"$36,259,522",-,-,"$36,259,522",100%
109,Ride On,"$36,258,730","$128,950",0.4%,"$36,129,780",99.6%
110,Strays,"$36,071,267","$23,988,885",66.5%,"$12,082,382",33.5%
111,Anatomy of a Fall,"$36,051,506","$5,076,369",14.1%,"$30,975,137",85.9%
112,Noryang: Deadly Sea,"$34,210,966","$315,245",0.9%,"$33,895,721",99.1%
113,Alibi.com 2,"$34,114,308",-,-,"$34,114,308",100%
114,Priscilla,"$33,111,706","$20,960,939",63.3%,"$12,150,767",36.7%
115,Don't Call it Mystery: The Movie,"$32,516,533",-,-,"$32,516,533",100%
116,The Three Musketeers - Part I: D'Artagnan,"$32,407,471",-,-,"$32,407,471",100%
117,The Bremen Town Musicians,"$30,835,715",-,-,"$30,835,715",100%
118,Tokyo MER,"$30,239,900",-,-,"$30,239,900",100%
119,Concrete Utopia,"$30,077,348",-,-,"$30,077,348",100%
120,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.6%,"$21,198,613",72.4%
121,Book Club: The Next Chapter,"$29,014,500","$17,581,565",60.6%,"$11,432,935",39.4%
122,I Wish I Could Meet You Again on the Hill Where That Flower Blooms (2023),"$28,933,626",-,-,"$28,933,626",100%
123,Jawan,"$28,499,044","$15,198,530",53.3%,"$13,300,514",46.7%
124,The Wish of the Fairy Fish,"$28,218,581",-,-,"$28,218,581",100%
125,Toy Story 2023 Re-release,"$27,508,866",-,-,"$27,503,758",100%
126,Renfield,"$26,493,921","$17,297,895",65.3%,"$9,196,026",34.7%
127,Perfect Days,"$25,584,134","$3,766,668",14.7%,"$21,817,466",85.3%
128,Frozen 2023 Re-release (Sing -A-Long),"$24,845,502",-,-,"$24,845,502",100%
129,Shin Jigen! Crayon Shin-chan the Movie,"$23,920,308",-,-,"$23,920,308",100%
130,American Fiction,"$22,483,370","$21,098,470",93.8%,"$1,384,900",6.2%
131,Champions,"$22,018,324","$16,397,335",74.5%,"$5,620,989",25.5%
132,Guy Ritchie's the Covenant,"$21,948,551","$16,938,039",77.2%,"$5,010,512",22.8%
133,Radical,"$21,830,921","$8,702,731",39.9%,"$13,128,190",60.1%
134,The Last Voyage of the Demeter,"$21,786,275","$13,637,180",62.6%,"$8,149,095",37.4%
135,"Are You There God? It's Me, Margaret.","$21,464,043","$20,372,406",94.9%,"$1,091,637",5.1%
136,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$21,112,012",-,-,"$21,112,012",100%
137,Saltburn,"$21,026,167","$11,425,829",54.3%,"$9,600,338",45.7%
138,The Challenge,"$20,810,348",-,-,"$20,810,348",100%
139,Dumb Money,"$20,703,794","$13,925,356",67.3%,"$6,761,614",32.7%
140,All of Us Strangers,"$20,226,058","$4,050,103",20%,"$16,175,955",80%
141,My Happy Marriage,"$19,506,407",-,-,"$19,506,407",100%
142,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%
143,Retribution,"$18,685,751","$6,937,696",37.1%,"$11,748,055",62.9%
144,Next Goal Wins,"$18,648,802","$6,713,826",36%,"$11,934,976",64%
145,Love Reset,"$18,425,590",-,-,"$18,425,590",100%
146,The Blackening,"$18,169,453","$17,707,207",97.5%,"$462,246",2.5%
147,About My Father,"$18,167,819","$12,089,391",66.5%,"$6,078,428",33.5%
148,Mavka: The Forest Song,"$17,974,964",-,-,"$17,974,964",100%
149,The Blind,"$17,265,876","$17,265,487",100%,$389,<0.1%
150,Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,-,"$17,216,567",100%
151,Hypnotic,"$16,281,937","$4,500,169",27.6%,"$11,781,768",72.4%
152,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
153,Die drei ??? - Erbe des Drachen,"$15,860,016",-,-,"$15,860,016",100%
154,Shin Kamen Rider,"$15,835,414",-,-,"$15,835,414",100%
155,Joy Ride,"$15,787,674","$12,897,789",81.7%,"$2,889,885",18.3%
156,Dunki,"$15,473,051","$7,460,159",48.2%,"$8,012,892",51.8%
157,The Three Musketeers - Part II: Milady,"$15,439,299",-,-,"$15,439,299",100%
158,Only 3 Days Left,"$15,152,854",-,-,"$15,152,854",100%
159,Epic Tails,"$15,114,378","$355,088",2.3%,"$14,759,290",97.7%
160,Tonde Saitama: Biwako Yori Ai o Komete,"$15,107,891",-,-,"$15,107,891",100%
161,A Guilty Conscience,"$14,911,562",-,-,"$14,911,562",100%
162,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$14,584,970",-,-,"$14,584,970",100%
163,Dr. Cheon and Lost Talisman,"$14,574,445","$84,362",0.6%,"$14,490,083",99.4%
164,Sisu,"$14,281,199","$7,265,622",50.9%,"$7,015,577",49.1%
165,Rehragout-Rendezvous,"$14,127,069",-,-,"$14,127,069",100%
166,A Moroccan Affair,"$14,075,140",-,-,"$14,075,140",100%
167,His Only Son,"$13,817,186","$12,392,740",89.7%,"$1,424,446",10.3%
168,Jeanne du Barry,"$13,564,190",-,-,"$13,564,190",100%
169,The Point Men,"$13,433,834",-,-,"$13,433,834",100%
170,"Manta, Manta: Legacy","$13,078,126",-,-,"$13,078,126",100%
171,Three heroes and the Navel of the Earth,"$13,028,535",-,-,"$13,028,535",100%
172,Bottoms,"$12,976,079","$12,036,071",92.8%,"$940,008",7.2%
173,Championext,"$12,899,265",-,-,"$12,899,265",100%
174,Love Again,"$12,696,584","$6,230,837",49.1%,"$6,465,747",50.9%
175,Dream Scenario,"$12,502,808","$5,742,193",45.9%,"$6,760,615",54.1%
176,Beau Is Afraid,"$12,337,378","$8,176,562",66.3%,"$4,160,816",33.7%
177,The Shift,"$12,238,643","$12,118,219",99%,"$120,424",1%
178,Salaar,"$11,958,548","$8,929,282",74.7%,"$3,029,266",25.3%
179,After Death,"$11,830,860","$11,478,326",97%,"$352,534",3%
180,Tiger 3,"$11,713,932","$5,365,263",45.8%,"$6,348,669",54.2%
181,Jungle Bunch: Operation Meltdown,"$11,580,770","$831,200",7.2%,"$10,749,570",92.8%
182,Face Off 6: The Ticket of Destiny,"$11,538,081",-,-,"$11,538,081",100%
183,Silent Night,"$11,067,228","$8,012,103",72.4%,"$3,055,125",27.6%
184,What's Love Got to Do with It?,"$11,065,050",-,-,"$11,065,050",100%
185,Sleep,"$11,063,144","$34,221",0.3%,"$11,028,923",99.7%
186,Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,-,"$10,876,188",100%
187,Honey Sweet,"$10,766,032",-,-,"$10,766,032",100%
188,The Machine,"$10,664,328","$10,458,331",98.1%,"$205,997",1.9%
189,After Everything,"$10,644,463",-,-,"$10,644,463",100%
190,The Crime Is Mine,"$10,473,857","$122,083",1.2%,"$10,351,774",98.8%
191,The Taste of Things,"$10,461,523","$2,654,510",25.4%,"$7,807,013",74.6%
192,The Great Escaper,"$10,461,239",-,-,"$10,461,239",100%
193,The Nightmare Before Christmas 30th Anniversary Re-Release,"$10,431,631","$10,251,956",98.3%,"$179,675",1.7%
194,Freelance,"$10,196,704","$5,314,136",52.1%,"$4,882,568",47.9%
195,Sun and Concrete,"$10,120,340",-,-,"$10,120,340",100%
196,Cobweb,"$10,091,821",-,-,"$10,091,821",100%
197,The Peasants,"$10,064,347","$155,188",1.5%,"$9,909,159",98.5%
198,Talk to Her Undated France Release,"$9,550,733",-,-,"$9,549,770",100%
199,Kandahar,"$9,387,311","$4,813,132",51.3%,"$4,574,179",48.7%
200,The Animal Kingdom,"$9,306,225","$11,767",0.1%,"$9,294,458",99.9%
