Rank,Release Group,Worldwide,Domestic,%,Foreign,%
90,Maldoror,"$437,474",-,-,"$437,474",100%
91,Identity,"$435,906",-,-,"$435,906",100%
92,Lottery,"$431,304",-,-,"$431,304",100%
93,Dogulu,"$428,123",-,-,"$428,123",100%
94,Bring Them Down,"$422,765","$322,356",76.2%,"$100,409",23.8%
95,Voyna i muzyka,"$413,792",-,-,"$413,792",100%
96,Kundschafter des Friedens 2,"$396,267",-,-,"$396,267",100%
97,Ponman,"$375,967",-,-,"$375,967",100%
98,Fatti vedere,"$353,924",-,-,"$353,924",100%
99,Putin,"$346,245",-,-,"$346,245",100%
100,Pino Daniele - Nero a metà,"$342,355",-,-,"$342,355",100%
101,UFC Countdown: UFC 311 Countdown: Makhachev vs. Tsarukyan 2,"$334,988","$334,988",100%,-,-
102,Thunderstruck Cop,"$331,927",-,-,"$331,927",100%
103,Queen of Mahjong,"$330,091",-,-,"$330,091",100%
104,Sky Force,"$305,368",-,-,"$305,368",100%
105,Sing Sing 2025 Re-release,"$289,829","$289,829",100%,-,-
106,The Corpse Washer,"$288,097",-,-,"$288,097",100%
107,Znakomstvo roditeley,"$274,144",-,-,"$274,144",100%
108,Ripples,"$263,345",-,-,"$263,345",100%
109,Ocean Expedition Octonauts Above and Beyond: Polar Operations,"$254,264",-,-,"$254,264",100%
110,The Devil's Lair,"$248,924",-,-,"$248,924",100%
111,Hüddam 5: Zuhur,"$234,296",-,-,"$234,296",100%
112,Peter Pan's Neverland Nightmare,"$230,515","$230,515",100%,-,-
113,Lembayung,"$219,319",-,-,"$219,319",100%
114,Octopus with Broken Arms,"$215,198",-,-,"$215,198",100%
115,Thandel,"$206,683",-,-,"$206,683",100%
116,Parvulos,"$203,185",-,-,"$203,185",100%
117,Pravinkoodu Shappu,"$197,118",-,-,"$197,118",100%
118,Tete ve Masal: Rüyalar Diyari,"$194,763",-,-,"$194,763",100%
119,Harry Potter and the Chamber of Secrets 2025 Re-release,"$194,328",-,-,"$194,328",100%
120,Tandari,"$194,004",-,-,"$194,004",100%
121,Inheritance,"$192,223","$192,223",100%,-,-
122,De rettsløse,"$192,015",-,-,"$192,015",100%
123,Marked Men,"$183,945",-,-,"$183,945",100%
124,Alarum,"$182,338",-,-,"$182,338",100%
125,The Wind Rises 2024 Re-release,"$172,120",-,-,"$172,120",100%
126,Temel: Sümela'nin Sifresi Yeniden,"$171,451",-,-,"$171,451",100%
127,Madha Gaja Raja,"$169,618",-,-,"$169,618",100%
128,Dead Dead Demons Dededede Destruction,"$158,531",-,-,"$158,531",100%
129,Daaku Maharaaj,"$157,823",-,-,"$157,823",100%
130,Class 90,"$153,805",-,-,"$153,805",100%
131,Emergency,"$147,371",-,-,"$147,371",100%
132,In the Name of Blood,"$144,831",-,-,"$144,831",100%
133,Azaad,"$137,979",-,-,"$137,979",100%
134,Po baram,"$136,344",-,-,"$136,344",100%
135,Diva Futura,"$133,613",-,-,"$133,613",100%
136,Hobal,"$133,588",-,-,"$133,588",100%
137,Crypto Man,"$132,423",-,-,"$132,423",100%
138,Rich Flu,"$127,648",-,-,"$127,648",100%
139,Liza: A Truly Terrific Absolutely True Story,"$127,047","$127,047",100%,-,-
140,Ski - The Greatest Ski Tour of All Time,"$126,290",-,-,"$126,290",100%
141,Kang Mak,"$124,056",-,-,"$124,056",100%
142,Majhail,"$120,161",-,-,"$120,161",100%
143,FolleMente,"$119,489",-,-,"$119,489",100%
144,Dismantling an Elephant,"$116,267",-,-,"$116,267",100%
145,Julie Keeps Quiet,"$108,117",-,-,"$108,117",100%
146,Fateh,"$101,332",-,-,"$101,332",100%
147,(G)I-dle World Tour [iDOL] in Cinemas,"$100,077",-,-,"$100,077",100%
148,Holka od vedle,"$96,729",-,-,"$96,729",100%
149,"Red Velvet Happiness Diary : My Dear, ReVe1uv in Cinemas","$96,260",-,-,"$96,260",100%
150,Norbert(a),"$96,027",-,-,"$96,027",100%
151,ELMESTRAI7A,"$94,435",-,-,"$94,435",100%
152,Storm City,"$94,138",-,-,"$94,138",100%
153,Par amour,"$91,565",-,-,"$91,565",100%
154,Into the Deep,"$87,338",-,-,"$87,338",100%
155,Filmlovers!,"$86,123",-,-,"$86,123",100%
156,Don't close your eyes,"$85,366",-,-,"$85,366",100%
157,Duel in trei,"$85,068",-,-,"$85,068",100%
158,A Boat in the Garden,"$83,389",-,-,"$83,389",100%
159,And the Breadwinner Is...,"$82,649",-,-,"$82,649",100%
160,Loveyapa,"$79,082",-,-,"$79,082",100%
161,Shaman,"$78,967",-,-,"$78,967",100%
162,Hoshiar Singh,"$75,483",-,-,"$75,483",100%
163,Kadhalikka Neramillai,"$70,834",-,-,"$70,834",100%
164,All for One,"$70,108",-,-,"$70,108",100%
165,My Rozhaem,"$69,374",-,-,"$69,374",100%
166,6 Days,"$66,595",-,-,"$66,595",100%
167,Kudumbasthan,"$64,479",-,-,"$64,479",100%
168,Askin Dünkü Çocuklari,"$64,016",-,-,"$64,016",100%
169,The Bayou,"$62,907",-,-,"$62,907",100%
170,Honey Money Phony,"$61,869",-,-,"$61,869",100%
171,Baby Blue,"$61,167",-,-,"$61,167",100%
172,Tenement,"$58,701",-,-,"$58,701",100%
173,William Tell,"$58,569",-,-,"$58,569",100%
174,Empareja2,"$56,799",-,-,"$56,799",100%
