Rank,Release Group,Worldwide,Domestic,%,Foreign,%
89,Zlatovláska,"$596,497",-,-,"$596,497",100%
90,Dominic and the Ladies' Purse,"$558,914",-,-,"$558,914",100%
91,The Fourth Wall,"$534,177",-,-,"$534,177",100%
92,Véletlenül írtam egy könyvet,"$527,914",-,-,"$527,914",100%
93,El Dashash,"$520,089",-,-,"$520,089",100%
94,Swiatloczula,"$513,427",-,-,"$513,427",100%
95,Dayi: Bir Adamin Hikayesi 2,"$505,974",-,-,"$505,974",100%
96,Parasite 2025 Re-release,"$478,148","$478,148",100%,-,-
97,Kayara,"$448,741",-,-,"$448,741",100%
98,Maldoror,"$437,474",-,-,"$437,474",100%
99,Identity,"$435,906",-,-,"$435,906",100%
100,Lottery,"$431,304",-,-,"$431,304",100%
101,Dogulu,"$428,123",-,-,"$428,123",100%
102,Bring Them Down,"$422,765","$322,356",76.2%,"$100,409",23.8%
103,Voyna i muzyka,"$413,792",-,-,"$413,792",100%
104,Block Pass,"$400,405",-,-,"$400,405",100%
105,Kundschafter des Friedens 2,"$396,267",-,-,"$396,267",100%
106,Ponman,"$375,967",-,-,"$375,967",100%
107,Fatti vedere,"$353,924",-,-,"$353,924",100%
108,Putin,"$346,245",-,-,"$346,245",100%
109,Pino Daniele - Nero a metà,"$342,355",-,-,"$342,355",100%
110,UFC Countdown: UFC 311 Countdown: Makhachev vs. Tsarukyan 2,"$334,988","$334,988",100%,-,-
111,Thunderstruck Cop,"$331,927",-,-,"$331,927",100%
112,Queen of Mahjong,"$330,091",-,-,"$330,091",100%
113,Sky Force,"$305,368",-,-,"$305,368",100%
114,Sing Sing 2025 Re-release,"$289,829","$289,829",100%,-,-
115,The Corpse Washer,"$288,097",-,-,"$288,097",100%
116,Znakomstvo roditeley,"$274,144",-,-,"$274,144",100%
117,Ripples,"$263,345",-,-,"$263,345",100%
118,Ocean Expedition Octonauts Above and Beyond: Polar Operations,"$254,264",-,-,"$254,264",100%
119,The Devil's Lair,"$248,924",-,-,"$248,924",100%
120,Hüddam 5: Zuhur,"$234,296",-,-,"$234,296",100%
121,De rettsløse,"$230,881",-,-,"$230,881",100%
122,Peter Pan's Neverland Nightmare,"$230,515","$230,515",100%,-,-
123,Lembayung,"$219,319",-,-,"$219,319",100%
124,Octopus with Broken Arms,"$215,198",-,-,"$215,198",100%
125,Thandel,"$206,683",-,-,"$206,683",100%
126,Parvulos,"$203,185",-,-,"$203,185",100%
127,Ski - The Greatest Ski Tour of All Time,"$197,541",-,-,"$197,541",100%
128,Pravinkoodu Shappu,"$197,118",-,-,"$197,118",100%
129,Tete ve Masal: Rüyalar Diyari,"$194,763",-,-,"$194,763",100%
130,Harry Potter and the Chamber of Secrets 2025 Re-release,"$194,328",-,-,"$194,328",100%
131,Tandari,"$194,004",-,-,"$194,004",100%
132,Marked Men,"$192,227",-,-,"$192,227",100%
133,Inheritance,"$192,223","$192,223",100%,-,-
134,Alarum,"$182,338",-,-,"$182,338",100%
135,The Wind Rises 2024 Re-release,"$172,120",-,-,"$172,120",100%
136,Temel: Sümela'nin Sifresi Yeniden,"$171,451",-,-,"$171,451",100%
137,Madha Gaja Raja,"$169,618",-,-,"$169,618",100%
138,Dead Dead Demons Dededede Destruction,"$158,531",-,-,"$158,531",100%
139,Daaku Maharaaj,"$157,823",-,-,"$157,823",100%
140,Class 90,"$153,805",-,-,"$153,805",100%
141,Emergency,"$147,371",-,-,"$147,371",100%
142,In the Name of Blood,"$144,831",-,-,"$144,831",100%
143,Azaad,"$137,979",-,-,"$137,979",100%
144,Po baram,"$136,344",-,-,"$136,344",100%
145,Liza: A Truly Terrific Absolutely True Story,"$135,388","$135,388",100%,-,-
146,Diva Futura,"$133,613",-,-,"$133,613",100%
147,Hobal,"$133,588",-,-,"$133,588",100%
148,Crypto Man,"$132,423",-,-,"$132,423",100%
149,Rich Flu,"$127,648",-,-,"$127,648",100%
